function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
4246;python3.9;_PyEval_EvalFrameDefault;pycore_pystate.h:55-55,pycore_pystate.h:82-82,codeobject.c:291-308,codeobject.c:314-316,codeobject.c:322-327,errors.c:434-440,abstract.h:73-74,abstract.h:114-118,abstract.h:126-127,exceptions.c:225-225,exceptions.c:232-232,ceval.c:865-865,ceval.c:872-873,ceval.c:880-891,ceval.c:897-897,ceval.c:922-922,ceval.c:934-934,ceval.c:945-945,ceval.c:1259-1264,ceval.c:1301-1310,ceval.c:1328-1339,ceval.c:1356-1356,ceval.c:1380-1384,ceval.c:1411-1411,ceval.c:1418-1418,ceval.c:1442-1442,ceval.c:1467-1467,ceval.c:1478-1479,ceval.c:1486-1591,ceval.c:1598-1675,ceval.c:1681-1689,ceval.c:1697-1842,ceval.c:1858-2019,ceval.c:2025-2040,ceval.c:2056-2056,ceval.c:2159-2164,ceval.c:2174-2176,ceval.c:2188-2188,ceval.c:2195-2235,ceval.c:2242-2245,ceval.c:2253-2253,ceval.c:2260-2270,ceval.c:2276-2276,ceval.c:2282-2284,ceval.c:2309-2312,ceval.c:2319-2321,ceval.c:2342-2351,ceval.c:2357-2377,ceval.c:2383-2407,ceval.c:2414-2422,ceval.c:2429-2465,ceval.c:2483-2519,ceval.c:2542-2543,ceval.c:2549-2578,ceval.c:2584-2584,ceval.c:2594-2599,ceval.c:2628-2636,ceval.c:2647-2652,ceval.c:2659-2678,ceval.c:2693-2694,ceval.c:2700-2787,ceval.c:2796-2841,ceval.c:2847-2852,ceval.c:2859-2859,ceval.c:2865-2880,ceval.c:2911-2911,ceval.c:2917-2933,ceval.c:2939-2950,ceval.c:2960-2967,ceval.c:2974-3048,ceval.c:3055-3062,ceval.c:3072-3072,ceval.c:3080-3118,ceval.c:3124-3248,ceval.c:3259-3259,ceval.c:3265-3280,ceval.c:3293-3302,ceval.c:3308-3336,ceval.c:3377-3377,ceval.c:3388-3400,ceval.c:3415-3444,ceval.c:3450-3451,ceval.c:3461-3465,ceval.c:3474-3475,ceval.c:3490-3492,ceval.c:3507-3514,ceval.c:3521-3527,ceval.c:3533-3554,ceval.c:3569-3577,ceval.c:3588-3643,ceval.c:3652-3663,ceval.c:3675-3677,ceval.c:3689-3710,ceval.c:3734-3734,ceval.c:3743-3745,ceval.c:3751-3769,ceval.c:3780-3797,ceval.c:3820-3826,ceval.c:3846-3850,ceval.c:4391-4392,ceval.c:4407-4414,ceval.c:4422-4423,ceval.c:4431-4436,ceval.c:4444-4446,ceval.c:4461-4463,ceval.c:4469-4474,ceval.c:4482-4485,ceval.c:5067-5078,ceval.c:5084-5085,ceval.c:5097-5103,ceval.c:5126-5126,ceval.c:5185-5186,ceval.c:5194-5202,ceval.c:5226-5247,ceval.c:5253-5253,ceval.c:5264-5271,ceval.c:5388-5395,object.c:2205-2210,abstract.c:898-899,abstract.c:1049-1050,abstract.c:1092-1092,abstract.c:1132-1133,abstract.c:2145-2149,string3.h:52-52,listobject.c:974-974,call.c:38-39,call.c:53-57,object.h:128-128,object.h:408-409,object.h:422-422,object.h:430-430,object.h:487-487,object.h:496-496,object.h:628-628,object.h:636-636,frameobject.c:950-956,frameobject.c:963-966,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,dictobject.c:1346-1347,dictobject.c:1521-1522,dictobject.c:1530-1540,dictobject.c:2655-2655;7.39;1.67;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyEval_EvalFrameDefault;;
268472;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::addcdiv_cpu_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, float, float)#1}, at::native::(anonymous namespace)::addcdiv_cpu_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec, at::vec)#2}> >(long, char**, long const*, long, long);;4.15;0.94;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNS9_12_GLOBAL__N_1L18addcdiv_cpu_kernelERNS8_18TensorIteratorBaseERKNS_6ScalarEENKUlvE0_clEvENKUlvE5_clEvEUlfffE_ZZZNSC_L18addcdiv_cpu_kernelESE_SH_ENKSI_clEvENKSJ_clEvEUlNS8_3vec4AVX210VectorizedIfEESO_SO_E0_EEEEvlS2_S4_ll;;
269018;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::lerp_scalar_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#5}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::lerp_scalar_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#5}::operator()() const::{lambda()#5}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}> >(long, char**, long const*, long, long);;3.77;0.85;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNS9_12_GLOBAL__N_118lerp_scalar_kernelERNS8_18TensorIteratorBaseERKNS_6ScalarEENKUlvE3_clEvENKUlvE0_clEvEUlffE_ZZZNSC_18lerp_scalar_kernelESE_SH_ENKSI_clEvENKSJ_clEvEUlNS8_3vec4AVX210VectorizedIfEESO_E0_EEEEvlS2_S4_ll;;
315816;libtorch_cpu.so;mkl_blas_avx512_sgemm_kernel_nocopy_TN_b1;;2.98;0.68;;;;;;;"0,0,0,100,0,0,0,0,0,0,0";mkl_blas_avx512_sgemm_kernel_nocopy_TN_b1;;
4293;python3.9;_PyObject_GenericGetAttrWithDict;pycore_pystate.h:55-55,object.c:745-749,object.c:768-769,object.c:775-779,object.c:1167-1167,object.c:1174-1181,object.c:1189-1190,object.c:1196-1204,object.c:1210-1219,object.c:1227-1233,object.c:1240-1240,object.c:1251-1253,object.c:1260-1267,object.c:1275-1275,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,dictobject.c:341-350,dictobject.c:782-811,dictobject.c:821-822,dictobject.c:922-951,dictobject.c:1463-1479;2.63;0.6;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyObject_GenericGetAttrWithDict;;
811;libc.so.6;__default_morecore;;1.83;0.42;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";__default_morecore;;
-1;libc.so.6;unknown_function;;1.65;0.38;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";Unknown function;;
315820;libtorch_cpu.so;mkl_blas_avx512_sgemm_kernel_nocopy_NT_b0;;1.61;0.37;;;;;;;"0,0,0,100,0,0,0,0,0,0,0";mkl_blas_avx512_sgemm_kernel_nocopy_NT_b0;;
812;libc.so.6;__libc_malloc;;1.21;0.28;;;;;;;"0,0,0,0,0,0,0,0,100,0,0";__libc_malloc;;
271883;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}> >(long, char**, long const*, long, long);;0.95;0.22;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNS9_12_GLOBAL__N_115div_true_kernelERNS8_18TensorIteratorBaseEENKUlvE0_clEvENKUlvE0_clEvEUlffE_ZZZNSC_15div_true_kernelESE_ENKSF_clEvENKSG_clEvEUlNS8_3vec4AVX210VectorizedIfEESL_E0_EEEEvlS2_S4_ll;;
